Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,-7.03,6.96,0.00,100.00,0.00,1.00,0.00,None,0.00,0.00,False,False,False,none,False,
1,2,-7.06,6.91,0.00,100.00,0.00,1.00,0.00,None,0.00,0.00,False,False,False,none,False,
1,3,-7.09,6.87,0.00,100.00,0.00,1.00,0.00,None,-0.01,0.00,False,False,False,none,False,
1,4,-7.12,6.82,0.00,100.00,0.00,1.00,0.00,None,-0.01,0.00,False,False,False,none,False,
1,5,-7.15,6.78,0.00,100.00,0.00,1.00,0.00,None,-0.02,0.00,False,False,False,none,False,
1,6,-7.18,6.73,0.00,100.00,0.00,1.00,0.00,None,-0.02,0.00,False,False,False,none,False,
1,7,-7.21,6.68,0.00,100.00,0.00,1.00,0.00,None,-0.03,0.00,False,False,False,none,False,
1,8,-7.24,6.64,0.00,100.00,0.00,1.00,0.00,None,-0.03,0.00,False,False,False,none,False,
1,9,-7.27,6.59,0.00,100.00,0.00,1.00,0.00,None,-0.03,0.00,False,False,False,none,False,
1,10,-7.30,6.55,0.00,100.00,0.00,1.00,0.00,None,-0.04,0.00,False,False,False,none,False,
1,11,-7.33,6.50,0.00,100.00,0.00,1.00,0.00,None,-0.04,0.00,False,False,False,none,False,
1,12,-7.36,6.46,0.00,100.00,0.00,1.00,0.00,Left,-0.05,0.00,False,False,False,none,False,
1,13,-7.39,6.41,0.00,100.00,0.00,1.00,0.00,Left,-0.05,0.00,False,False,False,none,False,
1,14,-7.42,6.37,0.00,100.00,0.00,1.00,0.00,Left,-0.06,0.00,False,False,False,none,False,
1,15,-7.45,6.32,0.00,100.00,0.00,1.00,0.00,Left,-0.06,0.00,False,False,False,none,False,
1,16,-7.48,6.28,0.00,100.00,0.00,1.00,0.00,Left,-0.06,0.00,False,False,False,none,False,
1,17,-7.51,6.23,0.00,100.00,0.00,1.00,0.00,Left,-0.07,0.00,False,False,False,none,False,
