Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd
1,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,0.00,0.00,False
1,2,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,,0.00,0.00,False
1,3,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False
1,4,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,,0.00,0.00,False
1,5,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Left,0.00,1.87,False
1,6,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,,0.00,0.00,False
1,7,-7.05,6.96,0.00,100.00,0.00,1.00,-10.13,Move_Forward,-0.01,0.00,False
1,8,-7.05,6.96,0.00,100.00,0.00,1.00,-10.13,,-0.01,0.00,False
1,9,-7.07,6.96,0.00,100.00,-0.76,1.00,-8.42,Move_Forward,-0.01,1.87,False
1,10,-7.07,6.96,0.00,100.00,-0.76,1.00,-8.42,,-0.01,0.00,False
1,11,-7.08,6.95,0.00,100.00,-1.52,1.00,-6.71,Move_Forward,-0.01,1.87,False
1,12,-7.08,6.95,0.00,100.00,-1.52,1.00,-6.71,,-0.01,0.00,False
1,13,-7.09,6.94,0.00,100.00,-2.28,1.00,-5.00,Move_Forward,-0.01,1.87,False
1,14,-7.09,6.94,0.00,100.00,-2.28,1.00,-5.00,,-0.01,0.00,False
1,15,-7.11,6.93,0.00,100.00,-3.05,1.00,-3.29,Move_Forward,-0.01,1.87,False
1,16,-7.11,6.93,0.00,100.00,-3.05,1.00,-3.29,,-0.01,0.00,False
1,17,-7.12,6.92,0.00,100.00,-3.81,1.00,-1.58,Move_Forward,-0.01,1.87,False
1,18,-7.12,6.92,0.00,100.00,-3.81,1.00,-1.58,,-0.01,0.00,False
1,19,-7.14,6.91,0.00,100.00,-4.57,1.00,0.13,Move_Forward,-0.02,1.87,False
1,20,-7.14,6.91,0.00,100.00,-4.57,1.00,0.13,,-0.02,0.00,False
1,21,-7.15,6.90,0.00,100.00,-5.33,1.00,1.84,Move_Forward,-0.02,1.87,False
1,22,-7.15,6.90,0.00,100.00,-5.33,1.00,1.84,,-0.02,0.00,False
1,23,-7.16,6.89,0.00,100.00,-6.09,1.00,3.55,Move_Forward,-0.02,1.87,False
1,24,-7.16,6.89,0.00,100.00,-6.09,1.00,3.55,,-0.02,0.00,False
1,25,-7.18,6.88,0.00,100.00,-6.85,1.00,5.26,Move_Right,-0.02,1.87,False
1,26,-7.18,6.88,0.00,100.00,-6.85,1.00,5.26,,-0.02,0.00,False
1,27,-7.19,6.87,0.00,100.00,-6.85,1.00,5.26,Move_Forward,-0.02,0.00,False
1,28,-7.19,6.87,0.00,100.00,-6.85,1.00,5.26,,-0.02,0.00,False
1,29,-7.20,6.87,0.00,100.00,-6.85,1.00,6.42,Move_Eat,-0.02,1.16,False
1,30,-7.20,6.87,0.00,100.00,-6.85,1.00,6.42,,-0.02,0.00,False
1,31,-7.20,6.87,0.00,100.00,-6.90,1.00,6.17,Eat_Food,-0.03,0.25,False
1,32,-7.20,6.87,0.00,100.00,-6.90,1.00,6.17,,-0.03,0.00,True
2,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.03,0.00,False
2,2,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,,-0.03,0.00,False
2,3,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False
2,4,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,,0.00,0.00,False
2,5,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Forward,0.00,1.87,False
2,6,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,,0.00,0.00,False
2,7,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Right,-0.01,1.87,False
2,8,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,,-0.01,0.00,False
2,9,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Forward,-0.01,0.00,False
2,10,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,,-0.01,0.00,False
2,11,-7.08,6.95,0.00,100.00,0.76,1.00,-6.55,Move_Forward,-0.01,1.87,False
2,12,-7.08,6.95,0.00,100.00,0.76,1.00,-6.55,,-0.01,0.00,False
2,13,-7.09,6.94,0.00,100.00,1.52,1.00,-4.84,Move_Forward,-0.01,1.87,False
2,14,-7.09,6.94,0.00,100.00,1.52,1.00,-4.84,,-0.01,0.00,False
2,15,-7.11,6.93,0.00,100.00,2.28,1.00,-3.13,Move_Forward,-0.01,1.87,False
2,16,-7.11,6.93,0.00,100.00,2.28,1.00,-3.13,,-0.01,0.00,False
2,17,-7.12,6.92,0.00,100.00,3.05,1.00,-1.42,Move_Forward,-0.01,1.87,False
2,18,-7.12,6.92,0.00,100.00,3.05,1.00,-1.42,,-0.01,0.00,False
2,19,-7.14,6.91,0.00,100.00,3.81,1.00,0.29,Move_Forward,-0.02,1.87,False
2,20,-7.14,6.91,0.00,100.00,3.81,1.00,0.29,,-0.02,0.00,False
2,21,-7.15,6.90,0.00,100.00,4.57,1.00,2.00,Move_Forward,-0.02,1.87,False
2,22,-7.15,6.90,0.00,100.00,4.57,1.00,2.00,,-0.02,0.00,False
2,23,-7.16,6.89,0.00,100.00,5.33,1.00,3.71,Move_Forward,-0.02,1.87,False
2,24,-7.16,6.89,0.00,100.00,5.33,1.00,3.71,,-0.02,0.00,False
2,25,-7.18,6.88,0.00,100.00,6.09,1.00,5.42,Move_Forward,-0.02,1.87,False
2,26,-7.18,6.88,0.00,100.00,6.09,1.00,5.42,,-0.02,0.00,False
2,27,-7.19,6.87,0.00,100.00,6.55,1.00,6.52,Move_None,-0.02,1.19,False
2,28,-7.19,6.87,0.00,100.00,6.55,1.00,6.52,,-0.02,0.00,False
2,29,-7.20,6.87,0.00,100.00,6.55,1.00,6.52,Move_Eat,-0.02,0.00,False
2,30,-7.20,6.87,0.00,100.00,6.55,1.00,6.52,,-0.02,0.00,False
2,31,-7.20,6.87,0.00,100.00,6.41,1.00,6.33,Drink_Water,-0.03,0.24,False
