Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision
1,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,0.00,0.00,False,False
1,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False,False
1,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Forward,0.00,1.87,False,False
1,4,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Left,-0.01,1.87,False,False
1,5,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Forward,-0.01,0.00,False,False
1,6,-7.08,6.95,0.00,100.00,-0.76,1.00,-6.55,Move_Forward,-0.01,1.87,False,False
1,7,-7.09,6.94,0.00,100.00,-1.52,1.00,-4.84,Move_Right,-0.01,1.87,False,False
1,8,-7.11,6.93,0.00,100.00,-1.52,1.00,-4.84,Move_Right,-0.01,0.00,False,False
1,9,-7.12,6.92,0.00,100.00,-1.52,1.00,-4.84,Move_Forward,-0.01,0.00,False,False
1,10,-7.14,6.91,0.00,100.00,-1.16,1.00,-3.64,Move_Right,-0.02,1.25,False,False
1,11,-7.15,6.90,0.00,100.00,-1.21,1.00,-3.64,Move_Right,-0.02,0.05,False,False
1,12,-7.16,6.89,0.00,100.00,-1.21,1.00,-3.64,Move_Forward,-0.02,0.00,False,False
1,13,-7.18,6.88,0.00,100.00,-1.13,1.00,-3.52,Move_Forward,-0.02,0.14,False,False
1,14,-7.19,6.87,0.00,98.53,-1.13,1.00,-3.52,Move_Forward,-0.02,0.00,False,True
1,15,-7.20,6.87,0.00,97.10,-1.13,1.00,-3.52,Move_Forward,-0.03,0.00,False,True
1,16,-7.22,6.86,0.00,95.68,-1.13,1.00,-3.52,Move_Forward,-0.04,0.00,False,True
1,17,-7.23,6.85,0.00,94.26,-1.13,1.00,-3.52,Move_Forward,-0.05,0.00,False,True
1,18,-7.24,6.84,0.00,92.83,-1.13,1.00,-3.52,Move_Forward,-0.06,0.00,False,True
1,19,-7.26,6.83,0.00,91.41,-1.13,1.00,-3.52,Move_Forward,-0.08,0.00,False,True
1,20,-7.27,6.82,0.00,89.99,-1.13,1.00,-3.52,Move_Forward,-0.09,0.00,False,True
1,21,-7.28,6.81,0.00,88.57,-1.13,1.00,-3.52,Move_Forward,-0.11,0.00,False,True
1,22,-7.30,6.80,0.00,87.14,-1.13,1.00,-3.52,Move_Forward,-0.12,0.00,False,True
1,23,-7.31,6.79,0.00,85.72,-1.13,1.00,-3.52,Move_Forward,-0.13,0.00,False,True
1,24,-7.32,6.78,0.00,84.30,-1.13,1.00,-3.52,Move_Forward,-0.15,0.00,False,True
1,25,-7.34,6.78,0.00,82.87,-1.13,1.00,-3.52,Move_Left,-0.16,0.00,False,True
1,26,-7.35,6.77,0.00,82.88,-1.21,1.00,-3.52,Move_Left,-0.18,0.08,False,True
1,27,-7.36,6.76,0.00,82.89,-1.21,1.00,-3.52,Move_Left,-0.18,0.00,False,False
1,28,-7.38,6.75,0.00,82.90,-1.21,1.00,-3.52,Move_Left,-0.18,0.00,False,False
1,29,-7.39,6.74,0.00,82.91,-1.21,1.00,-3.52,Move_Forward,-0.18,0.00,False,False
1,30,-7.41,6.73,0.00,82.92,-1.97,1.00,-1.81,Move_Forward,-0.18,1.87,False,False
1,31,-7.42,6.72,0.00,82.93,-2.73,1.00,-0.10,Move_Forward,-0.18,1.87,False,False
1,32,-7.43,6.71,0.00,82.94,-3.49,1.00,1.61,Move_Forward,-0.18,1.87,False,False
1,33,-7.45,6.70,0.00,82.95,-4.25,1.00,3.32,Move_Forward,-0.18,1.87,False,False
1,34,-7.46,6.69,0.00,82.96,-5.01,1.00,5.03,Move_Forward,-0.18,1.87,False,False
1,35,-7.47,6.69,0.00,82.97,-5.77,1.00,6.74,Move_Left,-0.18,1.87,False,False
1,36,-7.49,6.68,0.00,82.98,-5.77,1.00,6.74,Move_Left,-0.18,0.00,False,False
1,37,-7.50,6.67,0.00,82.99,-5.77,1.00,6.74,Move_Left,-0.18,0.00,False,False
1,38,-7.51,6.66,0.00,83.00,-5.77,1.00,6.74,Move_Forward,-0.18,0.00,False,False
1,39,-7.53,6.65,0.00,83.01,-6.47,1.00,6.73,Move_None,-0.18,0.69,False,False
1,40,-7.54,6.64,0.00,83.02,-6.47,1.00,6.73,Move_None,-0.18,0.00,False,False
1,41,-7.55,6.63,0.00,83.03,-6.47,1.00,6.73,Move_None,-0.18,0.00,False,False
1,42,-7.57,6.62,0.00,83.04,-6.47,1.00,6.73,Move_Forward,-0.18,0.00,False,False
1,43,-7.58,6.61,0.00,83.05,-7.42,1.00,6.62,Move_None,-0.18,0.97,False,False
1,44,-7.59,6.60,0.00,83.06,-7.42,1.00,6.62,Move_Eat,-0.19,0.00,False,False
1,45,-7.59,6.60,0.00,83.06,-7.97,1.00,6.56,Eat_Food,-0.19,0.54,False,False
1,46,-7.59,6.60,0.00,83.06,-7.97,1.00,6.56,,-0.19,0.00,True,False
2,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.19,0.00,False,False
2,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False,False
2,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Right,0.00,1.87,False,False
2,4,-7.05,6.96,0.00,100.00,0.00,1.00,-10.13,Move_Right,-0.01,0.00,False,False
2,5,-7.07,6.96,0.00,100.00,0.00,1.00,-10.13,Move_Forward,-0.01,0.00,False,False
2,6,-7.08,6.95,0.00,100.00,1.39,1.00,-8.88,Move_Forward,-0.01,1.87,False,False
2,7,-7.09,6.94,0.00,100.00,2.78,1.00,-7.62,Move_Left,-0.01,1.87,False,False
2,8,-7.11,6.93,0.00,100.00,2.78,1.00,-7.62,Move_Forward,-0.01,0.00,False,False
2,9,-7.12,6.92,0.00,100.00,3.54,1.00,-5.91,Move_Forward,-0.01,1.87,False,False
2,10,-7.14,6.91,0.00,100.00,4.30,1.00,-4.20,Move_Forward,-0.02,1.87,False,False
2,11,-7.15,6.90,0.00,100.00,5.07,1.00,-2.49,Move_Forward,-0.02,1.87,False,False
