Episode,Step,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType
1,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,0.00,0.00,False,False,False,none
1,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False,False,False,none
1,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Left,0.00,1.87,False,False,False,none
1,4,-7.05,6.96,0.00,100.00,0.00,1.00,-10.13,Move_Forward,-0.01,0.00,False,False,False,none
1,5,-7.07,6.96,0.00,100.00,-0.76,1.00,-8.42,Move_Forward,-0.01,1.87,False,False,False,none
1,6,-7.08,6.95,0.00,100.00,-1.52,1.00,-6.71,Move_Forward,-0.01,1.87,False,False,False,none
1,7,-7.09,6.94,0.00,100.00,-2.28,1.00,-5.00,Move_Forward,-0.01,1.87,False,False,False,none
1,8,-7.11,6.93,0.00,100.00,-3.05,1.00,-3.29,Move_Forward,-0.01,1.87,False,False,False,none
1,9,-7.12,6.92,0.00,100.00,-3.81,1.00,-1.58,Move_Forward,-0.01,1.87,False,False,False,none
1,10,-7.14,6.91,0.00,100.00,-4.57,1.00,0.13,Move_Forward,-0.02,1.87,False,False,False,none
1,11,-7.15,6.90,0.00,100.00,-5.33,1.00,1.84,Move_Forward,-0.02,1.87,False,False,False,none
1,12,-7.16,6.89,0.00,100.00,-6.09,1.00,3.55,Move_Forward,-0.02,1.87,False,False,False,none
1,13,-7.18,6.88,0.00,100.00,-6.85,1.00,5.26,Move_Forward,-0.02,1.87,False,False,False,none
1,14,-7.19,6.87,0.00,100.00,-7.42,1.00,6.28,Move_Forward,-0.02,1.16,False,False,False,none
1,15,-7.20,6.87,0.00,100.00,-7.97,1.00,7.02,Move_Eat,-0.02,0.92,False,False,False,none
1,16,-7.22,6.86,0.00,100.00,-7.97,1.00,7.02,Move_Right,-0.03,0.00,False,False,False,none
1,17,-7.23,6.85,0.00,100.00,-7.97,1.00,7.02,Move_Right,-0.03,0.00,False,False,False,none
1,18,-7.24,6.84,0.00,100.00,-7.97,1.00,7.02,Move_None,-0.03,0.00,False,False,False,none
1,19,-7.26,6.83,0.00,100.00,-7.97,1.00,7.02,Move_Forward,-0.03,0.00,False,False,False,none
1,20,-7.27,6.82,0.00,100.00,-7.36,1.00,8.11,Move_Eat,-0.03,1.25,False,False,False,none
1,21,-7.27,6.82,0.00,100.00,-7.36,1.00,8.11,Eat_Food,-0.03,0.00,False,False,True,food
1,22,-7.27,6.82,0.00,100.00,-7.36,1.00,8.11,,-0.03,0.00,True,False,True,food
2,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.03,0.00,False,False,True,food
2,2,-7.03,6.98,0.00,100.00,0.00,1.00,-12.00,Move_Forward,0.00,0.00,False,False,False,none
2,3,-7.04,6.97,0.00,100.00,0.00,1.00,-10.13,Move_Forward,0.00,1.87,False,False,False,none
2,4,-7.05,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Right,-0.01,1.87,False,False,False,none
2,5,-7.07,6.96,0.00,100.00,0.00,1.00,-8.26,Move_Forward,-0.01,0.00,False,False,False,none
2,6,-7.08,6.95,0.00,100.00,0.76,1.00,-6.55,Move_Forward,-0.01,1.87,False,False,False,none
2,7,-7.09,6.94,0.00,100.00,1.52,1.00,-4.84,Move_Forward,-0.01,1.87,False,False,False,none
2,8,-7.11,6.93,0.00,100.00,2.28,1.00,-3.13,Move_Forward,-0.01,1.87,False,False,False,none
2,9,-7.12,6.92,0.00,100.00,3.05,1.00,-1.42,Move_Forward,-0.01,1.87,False,False,False,none
2,10,-7.14,6.91,0.00,100.00,3.81,1.00,0.29,Move_Forward,-0.02,1.87,False,False,False,none
2,11,-7.15,6.90,0.00,100.00,4.57,1.00,2.00,Move_Forward,-0.02,1.87,False,False,False,none
2,12,-7.16,6.89,0.00,100.00,5.33,1.00,3.71,Move_Forward,-0.02,1.87,False,False,False,none
2,13,-7.18,6.88,0.00,100.00,6.09,1.00,5.42,Move_Forward,-0.02,1.87,False,False,False,none
2,14,-7.19,6.87,0.00,100.00,6.55,1.00,6.52,Move_None,-0.02,1.19,False,False,False,none
2,15,-7.20,6.87,0.00,100.00,6.55,1.00,6.52,Move_Eat,-0.02,0.00,False,False,False,none
2,16,-7.20,6.87,0.00,100.00,6.41,1.00,6.33,Drink_Water,-0.03,0.24,False,False,True,water
2,17,-7.20,6.87,0.00,100.00,6.41,1.00,6.33,,-0.03,0.00,True,False,True,water
3,1,-7.01,6.99,0.00,100.00,0.00,1.00,-12.00,Move_None,-0.03,0.00,False,False,True,water
